,index,r,p
0,aqi_even,1.0,0.0
1,heightroof,-0.07332122440538727,0.22047771896272286
2,groundelev,0.1018687307338817,0.08829594010465056
3,ld01,,1.0
4,ld02,0.2016145887685093,0.0006748757949056356
5,ld03,0.11170817624579825,0.06147265505791918
6,ld04,0.045417212597617516,0.448254072559231
7,ld05,-0.08941435328426638,0.13486934479326382
8,ld06,-0.04686660325602258,0.4338881294970055
9,ld07,-0.030027620569083667,0.6162135069480694
10,ld08,0.03248894291269123,0.5875915455904237
11,ld09,0.009596959597664021,0.8727542945094879
12,ld10,0.05519321738052428,0.35664041115996026
13,ld11,-0.005668008067619712,0.9246402036032111
14,alonepct,0.08498026994922507,0.15538937816917808
15,far,-0.1060798325566004,0.07584706425258311
16,volume,-0.05433945829319844,0.364139461217172
17,assessland,-0.12533194552801416,0.03574045281584425
18,assesstot,-0.13381475874246315,0.024881130280590052
19,respct,0.18340678051018294,0.0020220079322838566
20,offpct,-0.111546825557872,0.06185101654990973
21,retpct,-0.09067687236920513,0.12942549909345255
22,facpct,0.06312984814883746,0.29161554313509175
23,strpct,-0.11941788361068836,0.04549509307944095
24,totalemission,-0.043978856246185694,0.46277253118476
25,directemission,0.04343774206933465,0.468301195800216
