,index,r,p
0,aqi_morn,1.0,0.0
1,heightroof,-0.17713845612174062,0.0028848864492388667
2,groundelev,0.17945089482370663,0.0025337364017215336
3,ld01,,1.0
4,ld02,0.21520713440544786,0.0002789291605500171
5,ld03,0.10646870075023313,0.07477320661699036
6,ld04,0.0019889982545666695,0.9735206025025264
7,ld05,-0.16926152089568341,0.004437652418995702
8,ld06,-0.10154608172758438,0.08931366528981409
9,ld07,-0.04102052038583348,0.4934370544633804
10,ld08,-0.0014488498853233484,0.9807099072676223
11,ld09,0.06483918098777726,0.2787205299905728
12,ld10,0.05204009796537143,0.38481896482082056
13,ld11,-0.011132799048111323,0.8526066131960821
14,alonepct,0.13941147278333305,0.019388623470570472
15,far,-0.20254276256266218,0.000636486853701423
16,volume,-0.14450612710153324,0.015337752331083521
17,assessland,-0.20904044338252015,0.00041936404190118015
18,assesstot,-0.24154758091378603,4.280799779357023e-05
19,respct,0.1770865384667986,0.002893254258124154
20,offpct,-0.18347912111546227,0.0020135983404387012
21,retpct,-0.19580459428387229,0.0009680562880302431
22,facpct,0.0475300950319277,0.42740113535798474
23,strpct,-0.09515989722938076,0.111457976914942
24,totalemission,-0.01619987242953371,0.7868782281387706
25,directemission,0.0264986783236629,0.6582747049588731
