,index,r,p
0,aqi_night,1.0,0.0
1,heightroof,-0.25234003436463853,1.8638320873163648e-05
2,groundelev,0.13514523627566652,0.023466510741189144
3,ld01,,1.0
4,ld02,0.25745409586860885,1.2403411775546256e-05
5,ld03,0.08332355801116431,0.16363350334995846
6,ld04,-0.06993279359172537,0.2426080196742568
7,ld05,-0.17590306719804355,0.0030900759895808308
8,ld06,0.022220913478828187,0.7107300409959645
9,ld07,0.03258668466083373,0.5864676700832678
10,ld08,0.050961429314071015,0.3947613492145684
11,ld09,0.012863000638406974,0.830023898697412
12,ld10,0.08991408322543568,0.13269388545897134
13,ld11,0.0260609319780927,0.6635715744767421
14,alonepct,0.21240288672462695,0.00033624054233965996
15,far,-0.295291205277745,4.6366358603239795e-07
16,volume,-0.21263917482557965,0.000331018261758809
17,assessland,-0.24735167040379472,2.7501214672012036e-05
18,assesstot,-0.268324861527529,5.071102126267691e-06
19,respct,0.17774746532912855,0.0027883570967770187
20,offpct,-0.2149069182044709,0.00028459818423844715
21,retpct,-0.14718358060556927,0.013522132120210898
22,facpct,0.0723134157539142,0.2269038411009184
23,strpct,-0.12164438699266017,0.041588461894323296
24,totalemission,-0.10794529385932512,0.07080757213232075
25,directemission,-0.06007113298334135,0.31567105056495737
