,index,r,p
0,aqi_noon,1.0,0.0
1,heightroof,-0.2368341461342148,6.083275823338829e-05
2,groundelev,0.1975240508487392,0.0008709357666972687
3,ld01,,1.0
4,ld02,0.31234696579625315,8.946325947164336e-08
5,ld03,0.06983626433513937,0.24326044366981117
6,ld04,0.03215541433788459,0.5914340372606486
7,ld05,-0.18929744132314388,0.0014329505010701707
8,ld06,0.041032847391817985,0.4933070728657035
9,ld07,0.05659627946890371,0.344528490187876
10,ld08,0.05704032490340885,0.3407503030104182
11,ld09,-0.015812114655231416,0.7918613437875891
12,ld10,0.13618352147117477,0.02241131724817935
13,ld11,0.03858146422966545,0.5195104748667838
14,alonepct,0.19105738170311684,0.0012903170892782105
15,far,-0.2733444863522143,3.3108033677016297e-06
16,volume,-0.17154983163008797,0.003922937509086596
17,assessland,-0.25990226795474586,1.0175369936220854e-05
18,assesstot,-0.30563511079522543,1.730972893302115e-07
19,respct,0.15338297383586313,0.010025145968677289
20,offpct,-0.17221085467514635,0.0037846405815632348
21,retpct,-0.18748096206083234,0.001595203199959654
22,facpct,0.10485348830628918,0.0793158175259558
23,strpct,-0.05606068079813643,0.3491208910759419
24,totalemission,-0.08812332529111569,0.140616416655898
25,directemission,-0.019998021556620664,0.7385553708498813
